name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description,cookTime_time,prepTime_time
Passover Brisket,"1 whole Beef Brisket, Trimmed Of All Fat (5 To 8 Pounds)
1 bottle (24 Ounce) Ketchup Or Chili Sauce (make Sure It's Kosher)
1 package Onion Soup Mix (make Sure It's Kosher)",http://thepioneerwoman.com/cooking/2010/03/passover-brisket-i-think/,http://static.thepioneerwoman.com/cooking/files/2010/07/4475462524_0903f9b850.jpg,PT7H,8,2010-03-30,PT10M,"Okay. I think we've more than established that when it comes to correct methods for cooking and serving Passover food, I am n...",7:00:00,0:10:00
Sloppy Joes,"2 Tablespoons Butter
2-1/2 pounds Ground Beef
1/2 whole Large Onion, Diced
1 whole Large Green Bell Pepper, Diced
5 cloves Garlic, Minced
1-1/2 cup Ketchup
1 cup Water
2 Tablespoons Brown Sugar
2 teaspoons Chili Powder (more To Taste)
1 teaspoon Dry Mustard
1/2 teaspoon Red Pepper Flakes (more To Taste)
 Worcestershire Sauce, To Taste
2 Tablespoons Tomato Paste (optional)
 Tabasco Sauce (optional; To Taste)
 Salt To Taste
 Freshly Ground Black Pepper, To Taste
 Kaiser Rolls
 Butter",http://thepioneerwoman.com/cooking/2010/04/sloppy-joes/,http://static.thepioneerwoman.com/cooking/files/2010/07/4512963320_bba26f6a97_o.jpg,PT20M,8,2010-04-12,PT10M,"I used to be terrified of sloppy joes. It's true. When I was a little girl, I got it in my head that sloppy joes were demons,...",0:20:00,0:10:00
Butternut Squash Risotto,"1/2 whole Butternut Squash, Peeled, Seeded, And Diced.
3 Tablespoons Butter
1 Tablespoon Olive Oil
1/2 teaspoon Kosher Salt
 Black Pepper To Taste
1/4 teaspoon Chili Powder
1/2 whole Diced Onion
1-1/2 cup Arborio Rice
6 cups (approximately) Vegetable Or Chicken Broth (low Sodium)
 Salt And Pepper, to taste
1/8 teaspoon Turmeric
1/4 cup Heavy Cream (less If Desired)
1/2 cup Parmesan Shavings (more For Serving)
 Finely Minced Parsley, For Serving",http://thepioneerwoman.com/cooking/2013/01/butternut-squash-risotto/,http://static.thepioneerwoman.com/cooking/files/2013/01/risotto.jpg,PT1H,8,2013-01-21,PT10M,"A couple of weeks ago, I cooked Butternut Squash &amp; Kale Quesadillas. The same day, because I had hacked into a whole butternu...",1:00:00,0:10:00
"Chicken Tikka Masala, by Pastor Ryan","3 whole (to 4) Chicken Breasts
 Kosher Salt
 Ground Coriander
 Cumin, To Taste
1/2 cup Plain Yogurt
6 Tablespoons Butter
1 whole Large Onion
4 cloves Garlic
1 piece (approximately 2 Inches) Chunk Fresh Ginger
 Garam Masala
1 can (28 Ounce) Diced Tomatoes
 Sugar
1-1/2 cup Heavy Cream
2 cups Basmati Rice
 _____
 OPTIONAL:
 Fresh Cilantro
 Chili Peppers
 Turmeric
 Frozen Peas",http://thepioneerwoman.com/cooking/2009/06/chicken-tikka-masala-by-pastor-ryan/,http://static.thepioneerwoman.com/cooking/files/2009/06/chicken-tikka-masala.jpg,PT1H,6,2009-06-04,PT30M,"Whether you love Chicken Tikka Masala or you've never tried it in your life, you're in for a treat. Ryan comes through once a...",1:00:00,0:30:00
Fresh Corn and Avocado Salsa,"4 ears Sweet Corn
2 whole Very Firm Avocados, Diced
 1/2 Red Onion, Diced
 1/2 Jalapeno, Seeded And Finely Diced
 1/2 Hot Chili Pepper, Seeded And Finely Diced
1 whole Juice Of Lime
 Plenty Of Chopped Cilantro
 Salt To Taste
1 Tablespoon Vinegar
1 teaspoon Sugar (optional)",http://thepioneerwoman.com/cooking/2009/08/fresh-corn-avocado-salsa/,http://static.thepioneerwoman.com/cooking/files/2009/08/ree_66701.jpg,PT,10,2009-08-13,PT25M,"I dropped by the Lodge yesterday afternoon and discovered, to both my horror and excitement, that our friend Dave from Indian...",0:00:00,0:25:00
White Chicken Enchiladas,"2-1/2 cups Cooked, Shredded Chicken
2 cups Reserved Broth From Chicken
3 Tablespoons Canola Oil
12 whole Corn Tortillas
1 whole Large Onion, Diced
3 whole 4 Oz Cans Whole Green Chilies, Diced
1 whole Jalapeno, Seeded And Finely Diced
1 teaspoon Paprika
1/2 cup Heavy Cream
2 Tablespoons Butter
2 Tablespoons Flour
1 cup Sour Cream
2-1/2 cups Monterey Jack Cheese, Grated
 Salt And Pepper, to taste
 Picante Sauce (optional)
 Cilantro, Chopped",http://thepioneerwoman.com/cooking/2009/11/white-chicken-enchiladas/,http://static.thepioneerwoman.com/cooking/files/2010/07/4060528829_67db52b435.jpg,PT30M,6,2009-11-09,PT45M,"I'm happy to share my method for making creamy, dreamy, delicious, nutritious, yummy, nummy white chicken enchiladas.    They...",0:30:00,0:45:00
Good Ol’ Basic Mexican Rice,"2 Tablespoons Canola Oil
1/2 whole Large Onion, Chopped
2 cups Long Grain Rice
3 cloves Garlic, Minced
1 can Rotel Diced Green Chilies And Tomatoes (10 Ounce Can)
1 can Whole Tomatoes (14.5 Ounce Can)
2 cups Low Sodium Chicken Broth (more If Needed)
1 teaspoon Cumin (more To Taste)
1 teaspoon Kosher Salt
 Fresh Cilantro, Chopped",http://thepioneerwoman.com/cooking/2009/11/good-ol-basic-mexican-rice/,http://static.thepioneerwoman.com/cooking/files/2010/07/4021656171_abe77dc608.jpg,PT15M,6,2009-11-11,PT10M,I serve this rice with my White Chicken Enchiladas and they really are the perfect complement. It's a very basic Mexican rice...,0:15:00,0:10:00
Lazy Chiles Rellenos,"8 whole Roasted, Peeled, And Seeded Green Chiles
1-1/2 cup Monterey Jack Cheese, Grated
5 whole Large Eggs
2 cups Whole Milk
 Salt And Black Pepper To Taste
1/2 teaspoon Paprika
1/4 teaspoon Cayenne Pepper",http://thepioneerwoman.com/cooking/2009/11/lazy-chiles-rellenos/,http://static.thepioneerwoman.com/cooking/files/2010/07/4098250665_65310ab692.jpg,PT45M,9,2009-11-12,PT5M,This dish ain't fancy.     This dish ain't difficult to make. (Huh. Understatement of the modern era.)    This dish...ain't n...,0:45:00,0:05:00
White Chili,"1 whole Fryer Chicken, Cut Up (or 3 Cups Cooked Chicken)
1 whole Medium Onion, Diced
4 cloves Garlic, Minced
2 whole Cans Green Chilies, Chopped
1 pound Dried Great Northern Beans, Rinsed
8 cups Chicken Broth
1 whole Jalapeno, Sliced
1-1/2 Tablespoon Ground Cumin
1/2 teaspoon Paprika
1/2 teaspoon Cayenne Pepper
 Salt To Taste
 White Pepper, To Taste
1 cup Whole Milk
2 Tablespoons Masa (corn Flour) OR Cornmeal
 Grated Monterey Jack, To Taste
 Sour Cream For Garnish
 Cilantro For Garnish
 Guacamole (optional)
 Pico De Gallo (optional)
 Corn Tortillas, Warmed",http://thepioneerwoman.com/cooking/2010/01/simple-hearty-white-chili/,http://static.thepioneerwoman.com/cooking/files/2010/07/4243109382_1a797f44d2.jpg,PT2H,8,2010-01-04,PT25M,"I love white chili. And just like regular chili, there are as many incarnations as there are grains of sand in all the beache...",2:00:00,0:25:00
Enchiladas," FOR THE SAUCE:
1 Tablespoon Canola Oil
1 Tablespoon All-purpose Flour
1 can (28 Ounce) Enchilada Or Red Sauce
2 cups Chicken Broth
1/2 teaspoon Salt
1/2 teaspoon Ground Black Pepper
2 Tablespoons Chopped Cilantro
 _____
 FOR THE MEAT:
1-1/2 pound Ground Beef
1 whole Medium Onion, Finely Diced
2 cans (4 Ounce) Diced Green Chilies
1/2 teaspoon Salt
 _____
 FOR THE TORTILLAS:
10 whole (to 14) Corn Tortillas
1/2 cup Canola Oil
 _____
 TO ASSEMBLE:
3 cups Grated Sharp Cheddar Cheese
1/2 cup Chopped Black Olives
1 cup Chopped Green Onions
1/2 cup Chopped Cilantro",http://thepioneerwoman.com/cooking/2008/09/simple-perfect-enchiladas/,http://static.thepioneerwoman.com/cooking/files/2008/09/Enchiladas.jpg,PT20M,6,2008-09-15,PT1H30M,"Okay, people. Let's get down to business here. Let's make enchiladas!     Did you know that in addition to having an imaginar...",0:20:00,1:30:00
Mexican Layer Dip,"1 can Refried Beans
 Tabasco Sauce, To Taste
1 can Diced Green Chilies
 Ground Cumin, to taste
3/4 cups Grated Sharp Cheddar Cheese
1 cup Sour Cream
1 cup Guacamole
3/4 cups Monterey Jack Cheese
1 can Black Olives
1 cup Pico De Gallo",http://thepioneerwoman.com/cooking/2009/01/mexican-layer-dip/,http://static.thepioneerwoman.com/cooking/files/2010/07/3240212440_df1959a301.jpg,PT,8,2009-01-30,PT15M,"    It's the exact same Mexican Layer Dip I grew up eating in the eighties, with the exception of these modifications:    1. ...",0:00:00,0:15:00
What I Made for Lunch on Saturday,"1-1/2 pound Linguine
1 bunch Cilantro, Roughly Chopped
4 whole Green Onions, Thinly Sliced
 _____
 PEANUT DRESSING:
5 cloves Garlic, Peeled
1 cup Chunky Peanut Butter
3/4 cups Low Sodium Soy Sauce
4 Tablespoons (to 5 Tablespoons) Red Wine Vinegar
6 Tablespoons Brown Sugar
3 Tablespoons (to 4 Tablespoons) Red Chile Oil
1/4 cup Olive Oil
1/4 cup Sesame Oil (can Also Use 1/2 Cup Olive Oil)
1 Tablespoon (to 2 Tablespoons) Toasted Sesame Oil (sold In The Asian Aisle)",http://thepioneerwoman.com/cooking/2009/04/what-i-made-for-lunch-on-saturday/,http://static.thepioneerwoman.com/cooking/files/2009/04/what-i-made-for-lunch-on-saturday.jpg,PT10M,4,2009-04-27,PT20M,It's a long and lengthy process to explain why I cooked what I cooked for the Smitten Kitchen get together at the Lodge on Sa...,0:10:00,0:20:00
Leftover Brisket Tostadas," Beef Brisket Leftovers
1 package Small Corn Tortillas
1 can (about 16 Oz.) Refried Beans
1 can (about 8 Oz.) Hot Tomato Sauce Or Chili Sauce (optional)
 Pico De Gallo
 Shredded Cheese
 Lettuce
 Sour Cream
1 whole Avocado
 Vegetable Oil",http://thepioneerwoman.com/cooking/2008/01/leftover_brisket_make_tostadas/,http://static.thepioneerwoman.com/cooking/files/2010/07/2189916287_31398ea690.jpg,PT5M,6,2008-01-15,PT15M,"    There are few things more exciting, culinarily speaking, than slaving away over a dish for hours, then finding a way to u...",0:05:00,0:15:00
Cooking With Pastor Ryan: Delicious Mexican Lasagna,"4 cups Unprepared Rice
6 cups (to 8 Cups) Low Sodium Chicken Broth/stock
4 whole (to 8) Tomatoes (up To You)
2 whole (to 3) Onions (up To You)
8 cloves (to 14 Cloves) Of Garlic (up To You)
 Butter
 Taco Seasoning (or Chili Powder, Paprika, And Cumin) To Taste
1 can (to 2 Cans) Black Or Pinto Beans (up To You)
3 pounds Lean Ground Beef
2 jars (16 Ounce) Salsa Verde
 Flour Tortillas
3 packages (16 Ounces) Mexican Cheese Blend
1 jar (16 Ounce) Enchilada Sauce
3 cans Corn, Drained
 Sour Cream, to taste
 Cilantro, to taste",http://thepioneerwoman.com/cooking/2008/08/cooking-with-pastor-ryan-delicious-mexican-lasagna/,http://static.thepioneerwoman.com/cooking/files/2008/08/Delicious-Mexican-Lasagna.jpg,PT35M,8,2008-08-14,PT45M,"Hello PW peeps. It's Ryan, and I'm so excited to share this recipe with you because this has truly been the go-to meal of the...",0:35:00,0:45:00
Spicy Shredded Pork,"4 pounds (up To 7 Pounds) Pork Shoulder
1 teaspoon Dried Oregano
1 teaspoon Ground Cumin
1 teaspoon Chili Powder
1 Tablespoon (to 2 Tablespoons) Salt
 Pepper To Taste
3 cloves (to 4 Cloves) Garlic
1 Tablespoon (to 2 Tablespoons) Olive Oil
2 Tablespoons (to 3 Tablespoons) White Wine Vinegar
1/4 cup Brown Sugar
1 whole Onion
 Lime Wedges",http://thepioneerwoman.com/cooking/2008/08/spicy-shredded-pork/,http://static.thepioneerwoman.com/cooking/files/2008/08/Spicy-Shredded-Pork.jpg,PT4H,8,2008-08-06,PT20M,"   Oh my goodness, am I ever in love with pork shoulder. Wait a minute...did I just say that? That I'm in love with pork...",4:00:00,0:20:00
Salad Tacos,"16 whole Taco Shells
2 pounds Ground Beef
3 Tablespoons Taco Seasoning
1 can (4 Ounce) Tomato Paste
 Salt To Taste
1 can (14.5 Ounce) Beans (kidney, Pinto, Chili), Undrained
1/2 cup Hot Water
1 head Green Leaf Lettuce, Sliced Very Thin
1 cup Grape Tomatoes, Halved (or Diced Regular Tomatoes)
1 cup Grated Cheese (cheddar, Jack, Or Cheddar/jack)
 FOR THE DRESSING:
1/4 cup Mayonnaise
1/4 cup Sour Cream
1/4 cup Salsa
1 Tablespoon Ranch Dressing Mix (optional)
 Extra Hot Sauce (optional)
 Crushed Tortilla Chips (optional)",http://thepioneerwoman.com/cooking/2013/01/salad-tacos/,http://static.thepioneerwoman.com/cooking/files/2013/01/tacos.jpg,PT15M,8,2013-01-31,PT10M,"I made these tacos before my family and I left for our trip to Colorado, and we devoured every bite. They're pretty much the ...",0:15:00,0:10:00
Thai Chicken Wraps,"2 whole Boneless, Skinless Chicken Breasts (breast Halves)
 OPTION 1 MARINADE/SAUCE
1 Tablespoon Rice Wine Vinegar
1/4 cup Soy Sauce
1 teaspoon Pure Sesame Oil
1 teaspoon Hot Chili Oil
 Juice Of 2 Limes
1 Tablespoon Minced Fresh Ginger
2 Tablespoons Brown Sugar (optional)
1 teaspoon Cornstarch
2 Tablespoons Honey (or Brown Sugar)
 Peanut Or Canola Oil For Frying
 Peanut Sauce
1/2 cup Peanut Butter (crunch/chunky Is Good!)
3 Tablespoons Soy Sauce
3 Tablespoons Honey
1/2 teaspoon Hot Chili Oil
1 teaspoon Crushed Red Pepper
 Juice Of 2 Limes
 Water, As Needed For Thinning
 Wraps
2 whole Whole-wheat Tortillas
 Green Leaf Or Other Lettuce, Leaves Left Whole Or Shredded
1 whole Large Carrot, Cut Into Thin Strips Or Julienne
1/2 whole Cucumber, Seeds Scraped Out, Cut Into Strips
 Cilantro Leaves
 Shelled Peanuts
 Optional Additions:
 Bean Sprouts
 Alfalfa Sprouts
 Baby Spinach Leaves
 Thinly Sliced Red Onion
 Sliced Green Onion
 Blanched Asparagus
 Salt And Pepper, to taste
 Sriracha",http://thepioneerwoman.com/cooking/2013/02/thai-chicken-wraps/,http://static.thepioneerwoman.com/cooking/files/2013/02/wraps.jpg,PT10M,2,2013-02-12,PT20M,"I made these yummy, crunchy, flavorful wraps after church last Sunday for the following reasons:    1. I was alone in the hou...",0:10:00,0:20:00
Beef Fajitas,"1 whole Beef Flank Steak
1/2 cup Olive Oil
3 Tablespoons Worcestershire Sauce
1/3 cup Lime Juice, Fresh Squeezed
3 cloves Garlic, Minced
1 Tablespoon Cumin
1 Tablespoon Chili Powder
1/2 teaspoon Red Pepper Flakes
1 teaspoon Salt
1/2 teaspoon Black Pepper
1 Tablespoon Sugar
2 whole Medium Onions, Halved And Sliced
1 whole Red Bell Pepper, Sliced
1 whole Orange Bell Pepper, Sliced
1 whole Green Bell Pepper, Sliced
1 whole Yellow Bell Pepper, Sliced
 Oil, For Frying
 Flour Tortillas, Warmed
 Cheese (grated Cheddar/jack Or Crumbled Queso Fresco)
 Salsa
 Sour Cream
 Cilantro Leaves",http://thepioneerwoman.com/cooking/2013/03/beef-fajitas/,http://static.thepioneerwoman.com/cooking/files/2013/03/fajitas1.jpg,PT15M,8,2013-03-04,PT2H,"When I get a hankering for beef fajitas, I pretty much can think of nothing else until I eat them. I made them over the weeke...",0:15:00,2:00:00
Pioneer Woman’s Favorite Sandwich,"1 Tablespoon Dijon Mustard, to taste
1 Tablespoon Mayonnaise, to taste
1 whole Tomato
1 whole Red Onion, Small
2 slices Mild Cheddar
1 can (4 Oz.) Whole Green Chilies
2 slices Provolone
2 slices Rye Bread
 Butter",http://thepioneerwoman.com/cooking/2007/10/pioneer_womans_favorite_sandwich/,http://static.thepioneerwoman.com/cooking/files/2010/07/1470622409_212bb118bd.jpg,PT5M,1,2007-10-02,PT10M,"    Mmmmm...this is it, folks: The Sandwich That Brings Me the Most Happiness in Life. Granted, it's no Marlboro Man's Favori...",0:05:00,0:10:00
A Tasty Frittata Recipe,"Cilantro Chile Sauce
2 large cloves garlic
1/2 cup extra virgin olive oil
2 tablespoons lemon juice, freshly squeezed
1 small bunch cilantro
1 green (serrano) chile, seeds removed
2 pinches ground cumin
 a couple big pinches of salt 
Frittata
6 large organic eggs
1 tablespoon olive oil
1 small yellow onion, chopped
3 small potatoes, very very thinly sliced
1/2 cup yellow zucchini or cauliflower,1/2-inch pieces
1/4 cup goat cheese, crumbled
1/4 cup pumpkin seeds, toasted 
couple pinches of salt",http://www.101cookbooks.com/archives/a-tasty-frittata-recipe.html,http://www.101cookbooks.com/mt-static/images/food/frittatarecipe_07.jpg,,Serves 2 to 4.,2007-12-20,,"The prettiest, tastiest, frittata recipe. Made with potatoes, onions, and eggs drizzled with a cilantro chile sauce. ",0,0
